"Age_Group","Year","Gender","Population"
"25-29",2023,"Female",877
"25-29",2024,"Total",1673
"25-29",2024,"Male",801
"25-29",2024,"Female",872
"30-34",2014,"Total",1673
"30-34",2014,"Male",813
"30-34",2014,"Female",860
"30-34",2015,"Total",1689
"30-34",2015,"Male",821
"30-34",2015,"Female",868
"30-34",2016,"Total",1708
"30-34",2016,"Male",830
"30-34",2016,"Female",878
"30-34",2017,"Total",1728
"30-34",2017,"Male",840
"30-34",2017,"Female",888
"30-34",2018,"Total",1745
"30-34",2018,"Male",848
"30-34",2018,"Female",897
"30-34",2019,"Total",1756
"30-34",2019,"Male",854
"30-34",2019,"Female",902
"30-34",2020,"Total",1765
"30-34",2020,"Male",858
"30-34",2020,"Female",907
"30-34",2021,"Total",1784
"30-34",2021,"Male",867
"30-34",2021,"Female",917
"30-34",2022,"Total",1786
"30-34",2022,"Male",868
"30-34",2022,"Female",918
"30-34",2023,"Total",1774
"30-34",2023,"Male",862
"30-34",2023,"Female",912
"30-34",2024,"Total",1765
"30-34",2024,"Male",858
"30-34",2024,"Female",907
"35-39",2014,"Total",1438
"35-39",2014,"Male",700
"35-39",2014,"Female",738
"35-39",2015,"Total",1451
"35-39",2015,"Male",706
"35-39",2015,"Female",745
"35-39",2016,"Total",1468
"35-39",2016,"Male",715
"35-39",2016,"Female",753
"35-39",2017,"Total",1485
"35-39",2017,"Male",723
"35-39",2017,"Female",762
"35-39",2018,"Total",1499
"35-39",2018,"Male",730
"35-39",2018,"Female",769
"35-39",2019,"Total",1508
"35-39",2019,"Male",734
"35-39",2019,"Female",774
"35-39",2020,"Total",1516
"35-39",2020,"Male",738
"35-39",2020,"Female",778
"35-39",2021,"Total",1533
"35-39",2021,"Male",746
"35-39",2021,"Female",787
"35-39",2022,"Total",1534
"35-39",2022,"Male",747
"35-39",2022,"Female",787
"35-39",2023,"Total",1524
"35-39",2023,"Male",742
"35-39",2023,"Female",782
"35-39",2024,"Total",1516
"35-39",2024,"Male",738
"35-39",2024,"Female",778
"40-44",2014,"Total",1387
"40-44",2014,"Male",675
"40-44",2014,"Female",712
"40-44",2015,"Total",1400
"40-44",2015,"Male",681
"40-44",2015,"Female",719
"40-44",2016,"Total",1416
"40-44",2016,"Male",689
"40-44",2016,"Female",727
"40-44",2017,"Total",1432
"40-44",2017,"Male",697
"40-44",2017,"Female",735
"40-44",2018,"Total",1446
"40-44",2018,"Male",704
"40-44",2018,"Female",742
"40-44",2019,"Total",1455
"40-44",2019,"Male",708
"40-44",2019,"Female",747
"40-44",2020,"Total",1462
"40-44",2020,"Male",712
"40-44",2020,"Female",750
"40-44",2021,"Total",1478
"40-44",2021,"Male",720
"40-44",2021,"Female",758
"40-44",2022,"Total",1479
"40-44",2022,"Male",720
"40-44",2022,"Female",759
"40-44",2023,"Total",1469
"40-44",2023,"Male",715
"40-44",2023,"Female",754
"40-44",2024,"Total",1461
"40-44",2024,"Male",711
"40-44",2024,"Female",750
"45-49",2014,"Total",1312
"45-49",2014,"Male",631
"45-49",2014,"Female",681
"45-49",2015,"Total",1324
"45-49",2015,"Male",637
"45-49",2015,"Female",687
"45-49",2016,"Total",1339
"45-49",2016,"Male",644
"45-49",2016,"Female",695
"45-49",2017,"Total",1354
"45-49",2017,"Male",651
"45-49",2017,"Female",703
"45-49",2018,"Total",1368
"45-49",2018,"Male",658
"45-49",2018,"Female",710
"45-49",2019,"Total",1377
"45-49",2019,"Male",662
"45-49",2019,"Female",715
"45-49",2020,"Total",1384
"45-49",2020,"Male",665
"45-49",2020,"Female",719
"45-49",2021,"Total",1398
"45-49",2021,"Male",672
"45-49",2021,"Female",726
"45-49",2022,"Total",1400
"45-49",2022,"Male",673
"45-49",2022,"Female",727
"45-49",2023,"Total",1391
"45-49",2023,"Male",669
"45-49",2023,"Female",722
"45-49",2024,"Total",1383
"45-49",2024,"Male",665
"45-49",2024,"Female",718
"50-54",2014,"Total",1244
"50-54",2014,"Male",593
"50-54",2014,"Female",651
"50-54",2015,"Total",1256
"50-54",2015,"Male",599
"50-54",2015,"Female",657
"50-54",2016,"Total",1270
"50-54",2016,"Male",605
"50-54",2016,"Female",665
"50-54",2017,"Total",1284
"50-54",2017,"Male",612
"50-54",2017,"Female",672
"50-54",2018,"Total",1297
"50-54",2018,"Male",618
"50-54",2018,"Female",679
"50-54",2019,"Total",1305
"50-54",2019,"Male",622
"50-54",2019,"Female",683
"50-54",2020,"Total",1312
"50-54",2020,"Male",626
"50-54",2020,"Female",686
"50-54",2021,"Total",1326
"50-54",2021,"Male",632
"50-54",2021,"Female",694
"50-54",2022,"Total",1327
"50-54",2022,"Male",633
"50-54",2022,"Female",694
"50-54",2023,"Total",1318
"50-54",2023,"Male",629
"50-54",2023,"Female",689
"50-54",2024,"Total",1311
"50-54",2024,"Male",625
"50-54",2024,"Female",686
"55-59",2014,"Total",1086
"55-59",2014,"Male",511
"55-59",2014,"Female",575
"55-59",2015,"Total",1096
"55-59",2015,"Male",516
"55-59",2015,"Female",580
"55-59",2016,"Total",1109
"55-59",2016,"Male",522
"55-59",2016,"Female",587
"55-59",2017,"Total",1121
"55-59",2017,"Male",528
"55-59",2017,"Female",593
"55-59",2018,"Total",1132
"55-59",2018,"Male",533
"55-59",2018,"Female",599
"55-59",2019,"Total",1139
"55-59",2019,"Male",536
"55-59",2019,"Female",603
"55-59",2020,"Total",1144
"55-59",2020,"Male",539
"55-59",2020,"Female",605
"55-59",2021,"Total",1156
"55-59",2021,"Male",544
"55-59",2021,"Female",612
"55-59",2022,"Total",1158
"55-59",2022,"Male",545
"55-59",2022,"Female",613
"55-59",2023,"Total",1150
"55-59",2023,"Male",541
"55-59",2023,"Female",609
"55-59",2024,"Total",1143
"55-59",2024,"Male",538
"55-59",2024,"Female",605
"60-64",2014,"Total",937
"60-64",2014,"Male",434
"60-64",2014,"Female",503
"60-64",2015,"Total",945
"60-64",2015,"Male",438
"60-64",2015,"Female",507
"60-64",2016,"Total",956
"60-64",2016,"Male",443
"60-64",2016,"Female",513
"60-64",2017,"Total",966
"60-64",2017,"Male",448
"60-64",2017,"Female",518
"60-64",2018,"Total",975
"60-64",2018,"Male",452
"60-64",2018,"Female",523
"60-64",2019,"Total",981
"60-64",2019,"Male",455
"60-64",2019,"Female",526
"60-64",2020,"Total",986
"60-64",2020,"Male",457
"60-64",2020,"Female",529
"60-64",2021,"Total",996
"60-64",2021,"Male",462
"60-64",2021,"Female",534
"60-64",2022,"Total",998
"60-64",2022,"Male",463
"60-64",2022,"Female",535
"60-64",2023,"Total",991
"60-64",2023,"Male",460
"60-64",2023,"Female",531
"60-64",2024,"Total",986
"60-64",2024,"Male",457
"60-64",2024,"Female",529
"65-69",2014,"Total",646
"65-69",2014,"Male",290
"65-69",2014,"Female",356
"65-69",2015,"Total",652
"65-69",2015,"Male",292
"65-69",2015,"Female",360
"65-69",2016,"Total",659
"65-69",2016,"Male",295
"65-69",2016,"Female",364
"65-69",2017,"Total",667
"65-69",2017,"Male",299
"65-69",2017,"Female",368
"65-69",2018,"Total",672
"65-69",2018,"Male",301
"65-69",2018,"Female",371
"65-69",2019,"Total",676
"65-69",2019,"Male",303
"65-69",2019,"Female",373
"65-69",2020,"Total",680
"65-69",2020,"Male",305
"65-69",2020,"Female",375
"65-69",2021,"Total",687
"65-69",2021,"Male",308
"65-69",2021,"Female",379
"65-69",2022,"Total",687
"65-69",2022,"Male",308
"65-69",2022,"Female",379
"65-69",2023,"Total",683
"65-69",2023,"Male",306
"65-69",2023,"Female",377
"65-69",2024,"Total",678
"65-69",2024,"Male",304
"65-69",2024,"Female",374
"70-74",2014,"Total",421
"70-74",2014,"Male",186
"70-74",2014,"Female",235
"70-74",2015,"Total",424
"70-74",2015,"Male",187
"70-74",2015,"Female",237
"70-74",2016,"Total",429
"70-74",2016,"Male",189
"70-74",2016,"Female",240
"70-74",2017,"Total",434
"70-74",2017,"Male",191
"70-74",2017,"Female",243
"70-74",2018,"Total",438
"70-74",2018,"Male",193
"70-74",2018,"Female",245
"70-74",2019,"Total",440
"70-74",2019,"Male",194
"70-74",2019,"Female",246
"70-74",2020,"Total",443
"70-74",2020,"Male",195
"70-74",2020,"Female",248
"70-74",2021,"Total",447
"70-74",2021,"Male",197
"70-74",2021,"Female",250
"70-74",2022,"Total",448
"70-74",2022,"Male",198
"70-74",2022,"Female",250
"70-74",2023,"Total",444
"70-74",2023,"Male",196
"70-74",2023,"Female",248
"70-74",2024,"Total",442
"70-74",2024,"Male",195
"70-74",2024,"Female",247
"75-79",2014,"Total",289
"75-79",2014,"Male",119
"75-79",2014,"Female",170
"75-79",2015,"Total",291
"75-79",2015,"Male",120
"75-79",2015,"Female",171
"75-79",2016,"Total",294
"75-79",2016,"Male",121
"75-79",2016,"Female",173
"75-79",2017,"Total",297
"75-79",2017,"Male",122
"75-79",2017,"Female",175
"75-79",2018,"Total",301
"75-79",2018,"Male",124
"75-79",2018,"Female",177
"75-79",2019,"Total",302
"75-79",2019,"Male",124
"75-79",2019,"Female",178
"75-79",2020,"Total",304
"75-79",2020,"Male",125
"75-79",2020,"Female",179
"75-79",2021,"Total",307
"75-79",2021,"Male",126
"75-79",2021,"Female",181
"75-79",2022,"Total",307
"75-79",2022,"Male",126
"75-79",2022,"Female",181
"75-79",2023,"Total",305
"75-79",2023,"Male",125
"75-79",2023,"Female",180
"75-79",2024,"Total",303
"75-79",2024,"Male",125
"75-79",2024,"Female",178
"80+",2014,"Total",279
"80+",2014,"Male",110
"80+",2014,"Female",169
"80+",2015,"Total",281
"80+",2015,"Male",111
"80+",2015,"Female",170
"80+",2016,"Total",285
"80+",2016,"Male",113
"80+",2016,"Female",172
"80+",2017,"Total",288
"80+",2017,"Male",114
"80+",2017,"Female",174
"80+",2018,"Total",290
"80+",2018,"Male",115
"80+",2018,"Female",175
"80+",2019,"Total",292
"80+",2019,"Male",116
"80+",2019,"Female",176
"80+",2020,"Total",293
"80+",2020,"Male",116
"80+",2020,"Female",177
"80+",2021,"Total",296
"80+",2021,"Male",117
"80+",2021,"Female",179
"80+",2022,"Total",296
"80+",2022,"Male",117
"80+",2022,"Female",179
"80+",2023,"Total",295
"80+",2023,"Male",117
"80+",2023,"Female",178
"80+",2024,"Total",293
"80+",2024,"Male",116
"80+",2024,"Female",177
